TIME,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,16.1,16.7,14.4,13.5,13.3,12.8,12.8,11.1
Bulgaria,29.3,26.3,26.1,25,20.2,23.8,20.1,19.6
Czechia,19.2,20.2,19.1,17.4,18.1,18.4,19.5,14.4
Denmark,11.1,10.3,12.4,11.3,10,9.2,12,10
Germany (until 1990 former territory of the FRG),14.3,14.6,15.1,13.4,12.9,12.8,13.1,10.9
Estonia,7.8,8.1,8.6,6.7,5.4,5.3,6.3,4.8
Ireland,:,11.1,9.5,8,8.9,8,8.8,8.8
Greece,18.4,10,:,16.4,14.7,13.5,13.4,14.1
Spain,13.7,10.7,11.3,13,11.3,12.1,11.7,11.8
France,16,15.8,12.6,13.5,12.7,12,11.7,10.4
Croatia,:,21.9,20,21.9,20.6,19,20.3,16
Italy,23,20.1,17.6,22,19.3,19.2,16,15.1
Cyprus,24.3,17,17.2,17.2,14.7,14.7,13.2,13.4
Latvia,17.3,16.8,18.3,15.9,15.4,13.6,16.1,12.1
Lithuania,:,12.1,11.9,10.9,9.3,8.6,8.5,11.1
Luxembourg,12.2,16.3,11.5,11.7,14.4,13.2,11.1,10.2
Hungary,23.4,17.3,20.2,:,:,20.9,17.7,14.4
Malta,:,:,:,:,:,:,:,:
Netherlands,13.5,14,13.9,12.7,11.2,11.3,11.8,10.4
Austria,16.2,17.3,14.9,14.5,13.1,14.1,15.5,12
Poland,27,25.5,26.1,23.8,23.3,24.1,24.3,19.3
Portugal,9.2,5.5,10,10.3,10.1,12,10.8,9.1
Romania,19.4,15.5,13.9,17.1,17.2,20.4,20,16.4
Slovenia,20.4,20.1,17.5,21.6,21.6,19.7,18.3,15.3
Slovakia,22.7,:,18,19,14.7,17.5,16.9,13.8
Finland,7,6.7,8.4,6,5.7,4.9,6.4,5.1
Sweden,6,5.2,7.4,6.1,5.6,5.4,6.2,5.8
Iceland,4.6,7,:,7.4,5,6.2,6.2,5.9
Norway,9.5,9.2,8.5,7.6,7.9,7,6.1,6.5
Switzerland,:,:,:,11.3,10.1,10,11.1,9.2
United Kingdom,13.2,12.9,12.8,10,10.4,9.9,10.1,10.2
