TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,1.6,2,2,1.6,3.5,4.8,5.7,5.7,5.7
Bulgaria,44.5,44.2,43.3,41.4,42.5,41.9,41.6,41.1,39.5
Czechia,21.1,21,19.9,18.7,17.9,16,15.7,15.4,15.2
Denmark,7.2,7.9,8.2,8.1,8.2,8.6,9.2,10,9.5
Germany (until 1990 former territory of the FRG),6.6,6.7,6.6,7,7.2,7.2,7.4,7.8,10.3
Estonia,14,21.1,14.2,13.4,13.4,13.5,12.6,13.9,12.7
Ireland,3.2,2.8,4.2,3.8,3.4,2.8,2.7,3.2,:
Greece,26.5,27.3,27.4,28.1,28.7,29,29.2,28.7,29.1
Spain,5.6,5.2,5.3,5.5,5.4,5.1,4.7,5.9,7.6
France,8.1,7.4,7.1,7.4,7.7,7.7,8.2,7.7,9.8
Croatia,44.4,42.8,42.1,41.7,41.1,39.9,39.3,38.5,36.2
Italy,26.1,27.1,27.2,27.8,27.8,27.1,27.8,28.3,:
Cyprus,2.8,2.4,2.2,1.4,2.4,2.8,2.5,2.2,2.5
Latvia,36.6,37.7,39.8,41.4,43.2,41.9,43.4,42.2,42.5
Lithuania,19,28,28.3,26.4,23.7,23.7,22.8,22.9,21.1
Luxembourg,7,6.2,6.7,6.8,8.1,8.3,8.4,7.1,8.5
Hungary,45.3,44,41.9,41.1,40.4,40.5,20.1,20.3,19
Malta,4,4.5,4,3.8,3,3,3.4,3.7,4.2
Netherlands,2.5,2.6,3.5,3.3,4,4.1,4.1,4.8,4.8
Austria,13.9,14.7,15.3,15,15.2,15.1,13.5,15.1,14.1
Poland,46.3,44.8,44.2,43.4,40.7,40.5,39.2,37.6,36.9
Portugal,10.1,11.4,10.3,10.3,10.3,9.3,9.6,9.5,9
Romania,51.6,50.6,49.4,49.7,48.4,47,46.3,45.8,45.1
Slovenia,16.6,15.6,14.8,13.7,12.6,12.8,12.5,11.6,10.9
Slovakia,38.4,39.8,38.6,37.8,37.9,36.4,35.5,34.1,30.1
Finland,6,6.9,7,6.7,6.6,6.1,7.3,7.7,7.6
Sweden,12.9,13,12.7,13.9,14.4,13.5,15.2,15.6,15.6
Iceland,7.9,9.1,8,8.3,7.4,7.9,10.4,:,:
Norway,5.6,6,4.6,5.2,5.1,5.3,6.0,6.1,6.2
Switzerland,5.9,6.7,6.8,6.4,7,6.5,6.2,6.4,:
United Kingdom,7,8,7.3,7.3,8,3.4,4.8,:,:
