TIME,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,,:,,:,,:,,:,,:,,:,,:,,14.1,,13.6,,14.5,,14,,13.6,,13,,12,e,12.7,e,12.5,e,:,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,13.1,e,13.2,e,12.8,e,14.1,e,13.6,e,13.2,e,12.5,e,11.5,e,11.5,e,11,e,:,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,14.4,,14.1,,13.6,,14.5,,14,,13.6,,13,,12,e,12.7,e,12.5,e,:,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,15.9,,14.7,,16,,14.4,,14.2,,13.7,,14.6,,14.1,,13.7,,13.1,,12,e,12.7,e,11.1,e,:,
Euro area - 19 countries  (from 2015),:,,:,,14.4,,14.8,,14.9,,13.8,,15.1,,13.5,,13.5,,13.4,,14.9,,14.4,,14.1,,13.1,,12.3,,12.3,,12,,:,
Euro area - 18 countries (2014),:,,:,,14.5,,14.9,,14.9,,13.9,,15.2,,13.6,,13.6,,13.5,,15,,14.5,,14.2,,13.2,,12.3,,12.4,,12.1,,:,
Belgium,20.1,,19.6,,17.5,,18,,17.3,,15.8,,16.9,,17.5,,15.6,,14.5,,19.4,,16.2,,16.1,,13.3,,12.4,,12.3,,13.3,b,10.8,b
Bulgaria,:,,:,,24.5,,24.5,,27.6,,24.7,,28.6,b,27.7,,27.2,,26.9,,25.8,,26.8,,26.3,,25,b,23.6,,21.8,,20.2,,19.1,
Czechia,:,,:,,16.5,,14.3,,13.1,,13.9,,17.9,b,15.4,,15,,13.2,,13.9,,13.5,,12,,11.7,,9.3,,7.9,,7.8,,6.1,
Denmark,10,,14.2,,14,,13.6,,14,,16.2,,16.5,,14.2,,15.7,,9.9,,9.2,,9.1,,7.7,,8.4,,7.8,,7.4,,7.5,,7.3,
Germany (until 1990 former territory of the FRG),:,,:,,9.8,,12.6,,12.4,,13,,12.7,,12,,12.9,,12.5,,13.5,,13.1,,13.8,,14.1,,14.2,,13.3,,13.1,,8.2,bu
Estonia,:,,27.8,,23.2,,20.1,,21.4,,17.2,,19.3,,18,,14.5,,15.7,,12.3,,12.3,b,11.8,,9.2,,7.3,,7.4,,7.4,,5.5,
Ireland,15.4,,14.7,,14.5,,16.5,,15.3,,12.2,,14.5,,10.2,,10.4,,10.7,,11.9,,10.9,,10.9,,9.7,,9.7,,10,,8.8,,:,
Greece,9.7,,7.8,,8.2,,8.5,,10.4,,12,,16.3,b,19.1,,20.1,,20.1,,19,,16.1,,12.8,,11.8,,13.8,,13.5,,16.9,,18.2,
Spain,:,,18.4,,18.9,,19.3,,17.5,,14.7,,16.4,b,13,,10.8,,10.1,,14.2,,11.9,,10,,10.3,,8.7,,10.9,,11.6,,14.1,
France,:,,22.3,,17.5,,16.1,,16.3,,14.8,,15.3,,15.6,,14.8,,14.7,,16.8,,15.3,,14.2,,14.8,,13.9,,14.9,,14.7,,17.6,p
Croatia,:,,:,,:,,:,,:,,:,,:,,4.6,,3.6,,3.2,,2.9,,2.5,,2.8,,3,,3,,2.6,,2.7,,2.4,
Italy,:,,15.3,,14.3,,14.8,,16,,14.2,,15.9,,12.7,,14.5,,14.9,,16,,18,,19.4,,14.7,,12.5,,11.3,,9.4,,:,
Cyprus,:,,:,,8.9,,12.9,,13.6,,10.1,b,8.3,,12.7,,15,,15.5,,15.3,,11.9,,12,,9.8,,12.5,,13.9,,12.7,,10.4,
Latvia,:,,:,,22.6,,27.2,,27.2,,28.7,,25.3,b,23.8,,19,,17,,12,,13,,11.8,,10,,8,,8.6,,6.1,,5.3,p
Lithuania,:,,:,,9,,7.8,,7.1,,5.1,,6.5,,5.3,,4.8,,5,,6.4,,4.8,,4.6,,3.4,,8.2,,3.7,,3.2,,3.3,
Luxembourg,18.3,,15.3,,15.4,,11.1,,9.7,,10.6,,10.6,,10.2,,10.7,,14.4,,12.9,,16.8,,14.9,,12.2,b,12,,11.3,,11.2,,11,b
Hungary,:,,:,,12.4,,10,,12.9,,13.1,,11.6,,11.7,,10.9,,10.4,,12.6,,13.9,,10.6,,9.7,,7.2,,4.8,,5.3,,5.3,
Malta,:,,:,,13.4,,12.5,,10.2,,9.7,,10.7,,10.4,,12.7,,12.6,,12.9,,12.2,,11,,10.4,,10,,12.5,,13.6,,11.4,
Netherlands,:,,:,,19,,16.7,,17.7,,14.8,,21.7,b,16.8,,18.6,,18.3,,18.1,,18.5,,17.4,,16.9,b,15,,17.5,,16.3,,15.7,p
Austria,:,,9.8,,12.4,,12.1,,11.4,,11,b,15.1,,13.4,,12.1,,11.7,,11.3,,13.4,,12.9,,12.4,,10.9,,9.7,,8.4,,5.7,
Poland,:,,:,,10.4,,9,,8,,7.3,,6.7,,6.5,b,6.3,,6.3,,6.4,,6.4,,5.8,,5.6,,5.4,,4.8,,4.4,,:,
Portugal,:,,13.6,,13.8,,11.9,,12.6,,11.7,,14,,11.3,,10.1,,10.9,,13.3,,11.6,,10.5,,7.8,,7.9,,6.5,,6.7,,6.6,
Romania,:,,:,,:,,:,,15.4,,13.1,,16.1,,15.4,,16.3,,13.7,,15.7,,14.5,,13.1,,14.1,,11.3,,11.5,,9.6,,8.8,
Slovenia,:,,:,,10.5,,9.5,,10.2,,8.7,,12.5,b,9.3,,8.6,,8.1,,9.1,,10.1,,9.2,,8.5,,8,,7.9,,8,,7.3,
Slovakia,:,,:,,9.5,,8.4,,8.2,,9.3,,12.3,b,10.2,,10,,9.6,,8.9,,8.7,,7.3,,6.9,,6.2,,4.8,,5.6,,4.3,p
Finland,:,,16.8,,17.3,,15.3,,12.9,,13.1,,13.7,,8.7,,8.3,,8.6,,9,,7,,7.3,,6.5,,6.2,,7,,6.4,,7,
Sweden,:,,10,,9.7,,13.5,,13,,13.6,b,13.2,,10.4,,11.3,,10.6,,10.1,,10.7,,10.9,,12.7,,13,,14.4,,13,,13.8,
Iceland,:,,3.9,,3.7,,2.4,,3.5,,3.3,,4.2,,3.7,,2.3,,3.4,,2.2,,2.1,,2.2,,2.2,,2,,2.8,,:,,:,
Norway,5.8,,5.7,,4.8,,3.9,,4.7,,5.2,,5.3,,5.5,,4.9,,6,,4.6,,4,,5.7,,4.6,,3.8,,4.2,,4,,4.1,
Switzerland,:,,:,,:,,:,,12.7,,12.2,,12,,13.6,,12.3,,16.5,,14.5,,14.7,b,11.9,,10.9,,9.1,,7.9,,7.1,,:,
United Kingdom,:,,:,,30,,27.6,,26.9,,24.8,,25.1,,23.1,,20.7,,19.7,b,17.4,,16.5,,16.6,,16.8,,20.3,bu,24.2,u,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,6.5,,6.8,,7.3,,5.2,,4.1,,6.2,,6.9,,:,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,7,,6.9,,4.9,,7.3,,5.7,,5.7,,4.8,,4.2,,5.3,,6.5,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,0.6,,1.1,,0.7,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,20.2,,21.1,,16.8,,18.2,,14,,14.7,,10.7,,:,
Turkey,:,,:,,:,,21.4,,17,,11.3,,12.4,,:,,10.7,,8.5,,9.7,,10.6,,11.2,,10.7,,11.3,,11.1,,10.9,,:,
Kosovo (under United Nations Security Council Resolution 1244/99),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,2.4,,:,,:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bu,"break in time series, low reliability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,low reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
