,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,10,11,10
1,$A_{2}$,25,25,25
2,$A_{3}$,15,12,14
3,$A_{4}$,4,4,5
4,$A_{5}$,9,10,9
5,$A_{6}$,3,3,3
6,$A_{7}$,5,5,4
7,$A_{8}$,21,19,21
8,$A_{9}$,7,9,7
9,$A_{10}$,11,8,12
10,$A_{11}$,24,24,24
11,$A_{12}$,23,22,22
12,$A_{13}$,20,23,19
13,$A_{14}$,14,6,15
14,$A_{15}$,13,15,13
15,$A_{16}$,19,20,20
16,$A_{17}$,12,14,11
17,$A_{18}$,6,7,6
18,$A_{19}$,22,21,23
19,$A_{20}$,17,18,18
20,$A_{21}$,26,26,26
21,$A_{22}$,18,17,17
22,$A_{23}$,16,16,16
23,$A_{24}$,1,1,1
24,$A_{25}$,2,2,2
25,$A_{26}$,8,13,8
