,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,11,14,11
1,$A_{2}$,25,25,25
2,$A_{3}$,7,9,7
3,$A_{4}$,5,5,6
4,$A_{5}$,12,15,12
5,$A_{6}$,3,3,3
6,$A_{7}$,4,4,4
7,$A_{8}$,24,19,24
8,$A_{9}$,10,13,10
9,$A_{10}$,9,7,9
10,$A_{11}$,23,24,23
11,$A_{12}$,20,22,20
12,$A_{13}$,19,23,19
13,$A_{14}$,16,11,16
14,$A_{15}$,8,12,8
15,$A_{16}$,13,8,13
16,$A_{17}$,15,17,15
17,$A_{18}$,6,6,5
18,$A_{19}$,22,21,22
19,$A_{20}$,21,18,21
20,$A_{21}$,26,26,26
21,$A_{22}$,18,16,18
22,$A_{23}$,14,10,14
23,$A_{24}$,1,2,1
24,$A_{25}$,2,1,2
25,$A_{26}$,17,20,17
