,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,0.564309701807115,0.5287591285377238,0.7306723263859859
1,$A_{2}$,0.341904177393556,0.8189275384821464,0.07070776125586853
2,$A_{3}$,0.5324050472499309,0.5331782411131587,0.6050448500765192
3,$A_{4}$,0.6340909828405139,0.2815633877152562,0.8742397153282891
4,$A_{5}$,0.5643307255572542,0.5199112561448008,0.7327430880066951
5,$A_{6}$,0.65537179162521,0.240574282724034,0.8996384703074128
6,$A_{7}$,0.6261093821490377,0.31136998009194233,0.8755185506058603
7,$A_{8}$,0.4262742070123922,0.6443543645809164,0.23889640950266877
8,$A_{9}$,0.5778660475210291,0.5108014418556268,0.7694589134790899
9,$A_{10}$,0.558237049968442,0.4453719273181326,0.6991117522725276
10,$A_{11}$,0.3839136983444477,0.7404673082716716,0.12306400340837967
11,$A_{12}$,0.4076368301439803,0.7150289930886568,0.2073077370343373
12,$A_{13}$,0.4362155210500316,0.7158310948961871,0.27752408171457504
13,$A_{14}$,0.5347557629278227,0.42278205107318934,0.60114111864708
14,$A_{15}$,0.5429321511471876,0.5741973298024897,0.6448656933502573
15,$A_{16}$,0.4398968030612632,0.6530801241780525,0.2731876551468283
16,$A_{17}$,0.5559658652300904,0.5682843326762618,0.7020499467666872
17,$A_{18}$,0.6053333479556646,0.430852685911288,0.8318033606675743
18,$A_{19}$,0.4113687927569712,0.6867200993235598,0.19744650791733448
19,$A_{20}$,0.47479669731724317,0.6173881147210745,0.3728373205206553
20,$A_{21}$,0.263750861278246,1.0,0.013335991930299723
21,$A_{22}$,0.47444882105438463,0.612152612805787,0.3865638235132849
22,$A_{23}$,0.4765620569468598,0.6054642506529087,0.4016622112192121
23,$A_{24}$,0.7552614723478781,0.0,0.9913560798734842
24,$A_{25}$,0.7219788243921406,0.057627953085982994,0.9759005048508702
25,$A_{26}$,0.5736940595951344,0.5648783944729759,0.7568218277370347
