,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,9,11,9
1,$A_{2}$,25,25,25
2,$A_{3}$,12,10,13
3,$A_{4}$,4,4,5
4,$A_{5}$,11,12,11
5,$A_{6}$,3,3,3
6,$A_{7}$,5,5,4
7,$A_{8}$,22,19,22
8,$A_{9}$,7,9,7
9,$A_{10}$,8,6,8
10,$A_{11}$,24,24,24
11,$A_{12}$,21,21,20
12,$A_{13}$,19,23,18
13,$A_{14}$,15,8,15
14,$A_{15}$,14,14,14
15,$A_{16}$,20,20,21
16,$A_{17}$,13,13,12
17,$A_{18}$,6,7,6
18,$A_{19}$,23,22,23
19,$A_{20}$,18,18,19
20,$A_{21}$,26,26,26
21,$A_{22}$,16,15,16
22,$A_{23}$,17,17,17
23,$A_{24}$,1,1,1
24,$A_{25}$,2,2,2
25,$A_{26}$,10,16,10
