,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Efficiency,Rank
$A_{1}$,0.1191823636542626,0.04430629387829061,0.01183520243371881,0.04499116135381456,0.06196833007627508,0.07711082878475349,0.03833838073524745,0.07601410859590234,0.03097139796977966,0.031532445454480904,0.5366172338926578,13.0
$A_{2}$,0.020565771690860293,0.0914527348000614,0.013576636740156217,0.0,0.0,0.03099740511942944,0.05886296840159203,0.04140988973785039,0.023615690951956984,0.0,0.3360709696156686,25.0
$A_{3}$,0.07681191836345407,0.06759549963482799,0.013718571824693436,0.04208850578260072,0.040952983354755716,0.03157143114015962,0.07435322324411625,0.07643291911158226,0.0584585136679591,0.04420725196069381,0.5134573841178952,14.0
$A_{4}$,0.10307663883611902,0.05282673500873112,0.03753091177666827,0.09869028942127064,0.07382314104738856,0.06543896636323994,0.04647076452757265,0.09493038355411128,0.032132825393646404,0.057500341711112235,0.6416172762298875,4.0
$A_{5}$,0.10580222303611254,0.0,0.010918083425939858,0.0827256837795945,0.0625071851204166,0.10236797369688119,0.05925022477265514,0.10272374923338816,0.013937129086400846,0.03864270276284425,0.5600610339450663,10.0
$A_{6}$,0.08994427859978654,0.09315682302614947,0.06418195341938747,0.06966373370913223,0.09861047307789861,0.02889264304341881,0.05692668654627651,0.08849117187553278,0.042585672208447035,0.044825535204899326,0.6558333672120532,3.0
$A_{7}$,0.11373119525427555,0.0999731759305019,0.03256318381786564,0.09433630606444987,0.09160535750405882,0.0508969738380755,0.056152173804150295,0.041287736670777085,0.022841406002712495,0.04760780980382411,0.6181256193215264,5.0
$A_{8}$,0.05352056247260026,0.037489940973938214,0.01435182066339795,0.03773452242577995,0.04634153379617094,0.004974892179661519,0.05034332823820371,0.09859497556631044,0.030197113020535172,0.04173411898387179,0.42843051632788615,20.0
$A_{9}$,0.10951892876337645,0.057370970278299384,0.011360265804690425,0.09143365049323604,0.06466260529698269,0.0321454571608898,0.04995607186714061,0.08337819349660733,0.030197113020535172,0.05039008440274889,0.5659335186653457,8.0
$A_{10}$,0.10481110150884218,0.05339476441742716,0.025679332217810557,0.06821240592352529,0.06196833007627508,0.05261905190026604,0.06002473751478135,0.07556039720391579,0.024777118375823724,0.03740613627443323,0.5626691803622688,9.0
$A_{11}$,0.0198224305454075,0.09940514652180586,0.016699208599975018,0.023221244569710732,0.016704506368387204,0.0091844163316828,0.06660809582285415,0.0,0.012775701662534106,0.07264828119414718,0.37409080211848467,23.0
$A_{12}$,0.054263903618053035,0.042602205652202504,0.005824797507738916,0.06240709478109761,0.01616565132424567,0.05950736414902813,0.015490254842524219,0.03961249460805747,0.030197113020535172,0.02133077192509003,0.3673271308204162,24.0
$A_{13}$,0.020565771690860293,0.06361929377395575,0.05090010493173164,0.00580531114242769,0.04903580901687854,0.029658011071059035,0.014328485729334912,0.09316788930062504,0.03290711034289089,0.044825535204899326,0.4200143530026432,21.0
$A_{14}$,0.05773282896349936,0.059075058504387476,0.03757458411037203,0.023221244569710732,0.07597856122395466,0.038077059375101606,0.04298545718800471,0.06174314027410966,0.0,0.06708373199629762,0.4659125918864823,15.0
$A_{15}$,0.10629778379974773,0.0323776762956739,0.008019332276352827,0.052247800281849166,0.07166772087082249,0.06543896636323994,0.053054122835645444,0.1041791157753758,0.024389975901201486,0.035242144919713954,0.5473720487025834,12.0
$A_{16}$,0.02130911283631307,0.06873155845222005,0.01853344661553291,0.04934514471063532,0.025865042118793084,0.03635498131291108,0.010455922018703857,0.06905138377272398,0.08129991967067161,0.04853523467013238,0.4293504549856786,19.0
