,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
$A_{1}$,0.9311926605504587,0.5101010101010102,0.0774978967684466,0.6323529411764706,0.6353591160220994,0.7732142857142857,0.4035874439461884,0.7299524564183835,0.4444444444444445,0.5509259259259259
$A_{2}$,0.1077981651376146,0.9292929292929292,0.09724352946998566,0.13235294117647065,0.23204419889502756,0.3642857142857143,0.6233183856502242,0.42503961965134707,0.23232323232323235,0.11111111111111105
$A_{3}$,0.7018348623853211,0.6666666666666667,0.10268718760825457,0.49999999999999994,0.2651933701657459,0.37678571428571433,0.8609865470852018,0.7194928684627575,0.8636363636363639,0.7546296296296295
$A_{4}$,0.8509174311926605,0.4848484848484849,0.31023902608007126,0.9705882352941176,0.6795580110497238,0.692857142857143,0.4708520179372198,0.8874801901743266,0.4242424242424243,0.7777777777777777
$A_{5}$,0.8922018348623854,0.0,0.0790815064086703,0.8235294117647058,0.6187845303867403,1.0,0.6053811659192825,0.9361965134706813,0.26767676767676774,0.5046296296296297
$A_{6}$,0.7729357798165137,0.9696969696969698,0.523333498292671,0.6617647058823529,0.9944751381215469,0.3017857142857143,0.5964125560538117,0.8077654516640255,0.494949494949495,0.7777777777777777
$A_{7}$,1.0,0.9292929292929292,0.2701044192606523,0.9852941176470588,0.8563535911602209,0.47321428571428575,0.672645739910314,0.384310618066561,0.4393939393939395,0.6574074074074074
$A_{8}$,0.3922018348623853,0.4292929292929293,0.14019894096105315,0.4558823529411764,0.6022099447513812,0.16071428571428575,0.6278026905829597,0.8954041204437402,0.388888888888889,0.4953703703703704
$A_{9}$,0.9541284403669724,0.5454545454545455,0.07452862869302719,0.838235294117647,0.6961325966850829,0.4232142857142857,0.49327354260089684,0.7879556259904914,0.2777777777777778,0.6157407407407407
$A_{10}$,0.8738532110091743,0.4848484848484849,0.20695798485673286,0.7058823529411765,0.6961325966850829,0.6071428571428572,0.6367713004484306,0.6719492868462758,0.3585858585858586,0.4305555555555555
$A_{11}$,0.16055045871559634,1.0,0.1462859405156629,0.2794117647058823,0.22099447513812154,0.2535714285714286,0.7040358744394619,0.0,0.2828282828282829,1.0
$A_{12}$,0.42431192660550454,0.8535353535353535,0.028405997921512365,0.6029411764705882,0.4585635359116022,0.6910714285714286,0.6143497757847534,0.3597464342313788,0.4242424242424243,0.5972222222222222
$A_{13}$,0.06651376146788988,0.7121212121212122,0.4202504082743604,0.2794117647058823,0.45303867403314907,0.25178571428571433,0.15246636771300445,0.9792393026941363,0.38383838383838387,0.7222222222222223
$A_{14}$,0.5389908256880734,0.6565656565656566,0.3284010491413867,0.49999999999999994,0.8729281767955801,0.7392857142857143,0.5426008968609866,0.6164817749603803,0.0,0.9490740740740742
$A_{15}$,0.8692660550458716,0.4292929292929293,0.06844162913841742,0.5441176470588235,0.7292817679558011,0.6767857142857143,0.3856502242152466,0.9524564183835182,0.37878787878787895,0.5972222222222222
$A_{16}$,0.6009174311926605,0.9747474747474747,0.19033008363438414,0.4558823529411764,0.3646408839779006,0.46964285714285714,0.1973094170403587,0.6887480190174327,1.0,0.8981481481481481
$A_{17}$,0.9678899082568808,0.03535353535353532,0.014846340377097048,0.8970588235294117,0.6906077348066297,0.8,0.4977578475336323,0.9920760697305864,0.23737373737373746,0.3101851851851852
$A_{18}$,0.7522935779816514,0.5202020202020202,0.1549957935368932,0.7352941176470589,0.4861878453038674,0.8321428571428573,0.7399103139013454,0.996513470681458,0.6717171717171717,0.6712962962962964
$A_{19}$,0.1628440366972476,0.7070707070707071,0.10234077299945568,0.30882352941176466,0.0,0.41428571428571426,0.6860986547085203,0.5879556259904913,0.5606060606060607,0.8981481481481481
$A_{20}$,0.841743119266055,0.24242424242424246,0.12975701489582822,0.4117647058823529,0.7458563535911602,0.32142857142857145,0.0,0.7565768621236133,0.10101010101010102,0.8194444444444445
$A_{21}$,0.0,0.38888888888888884,0.05023011827584501,0.0,0.2375690607734807,0.0,0.7533632286995515,0.17749603803486533,0.585858585858586,0.587962962962963
$A_{22}$,0.7752293577981652,0.6818181818181818,0.09808482209135451,0.7647058823529411,0.3314917127071823,0.8535714285714286,0.18834080717488788,0.5071315372424724,0.20202020202020204,0.7546296296296295
$A_{23}$,0.24770642201834858,0.8383838383838385,0.10140050477557282,0.7058823529411765,0.40883977900552493,0.44999999999999996,0.9775784753363229,0.4564183835182251,0.8333333333333335,0.8981481481481481
$A_{24}$,0.8944954128440368,0.7272727272727273,1.0,0.7794117647058824,0.9889502762430937,0.5571428571428572,1.0,0.7622820919175911,0.3131313131313132,0.7962962962962964
$A_{25}$,0.713302752293578,0.5454545454545455,0.8888503983768001,0.9411764705882353,1.0,0.6196428571428572,0.8565022421524664,0.9207606973058637,0.3686868686868687,0.4537037037037037
$A_{26}$,0.9518348623853212,0.40404040404040403,0.0,1.0,0.7845303867403315,0.5892857142857144,0.41704035874439455,1.0,0.1666666666666667,0.0
Weights,0.1240127261431492,0.09905703164298289,0.1074884118108868,0.10099202846987423,0.09893234846985667,0.09629576328147137,0.09256074670526208,0.09717725103143363,0.09146028282978994,0.09202340961529326
Types,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
