,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
$A_{1}$,0.9413145539906104,0.5760869565217391,0.0774978967684466,0.5405405405405406,0.5743243243243245,0.782608695652174,0.37931034482758624,0.7299524564183835,0.4894736842105263,0.5069767441860464
$A_{2}$,0.1103286384976525,0.9619565217391305,0.09724352946998566,0.08108108108108104,0.0,0.36231884057971014,0.6305418719211823,0.42503961965134707,0.3105263157894737,0.18604651162790697
$A_{3}$,0.7136150234741785,0.6847826086956522,0.10268718760825457,0.5135135135135135,0.3513513513513514,0.394927536231884,0.8423645320197044,0.7194928684627575,0.8842105263157893,0.7627906976744185
$A_{4}$,0.8403755868544601,0.35326086956521735,0.31023902608007126,0.8378378378378378,0.6486486486486487,0.7246376811594203,0.46798029556650245,0.8874801901743266,0.41578947368421054,0.7767441860465116
$A_{5}$,0.8920187793427231,0.027173913043478257,0.0790815064086703,0.7972972972972973,0.5878378378378378,1.0,0.6108374384236454,0.9361965134706813,0.3052631578947368,0.5162790697674419
$A_{6}$,0.7488262910798122,1.0,0.523333498292671,0.7702702702702702,1.0,0.3496376811594203,0.522167487684729,0.8077654516640255,0.5526315789473684,0.7813953488372092
$A_{7}$,1.0,1.0,0.2701044192606523,0.918918918918919,0.7297297297297297,0.47282608695652173,0.5862068965517242,0.384310618066561,0.46315789473684205,0.7162790697674418
$A_{8}$,0.4014084507042254,0.37500000000000006,0.14019894096105315,0.43243243243243235,0.3716216216216217,0.1721014492753623,0.5862068965517242,0.8954041204437402,0.39999999999999997,0.33953488372093027
$A_{9}$,0.9366197183098592,0.6793478260869565,0.07452862869302719,0.7972972972972973,0.5270270270270271,0.4202898550724638,0.47783251231527096,0.7879556259904914,0.3157894736842105,0.586046511627907
$A_{10}$,0.8943661971830986,0.5054347826086957,0.20695798485673286,0.6486486486486487,0.6216216216216217,0.6304347826086956,0.6354679802955665,0.6719492868462758,0.38947368421052636,0.4418604651162791
$A_{11}$,0.1713615023474178,1.0,0.1462859405156629,0.3108108108108108,0.24324324324324334,0.33876811594202894,0.6995073891625616,0.0,0.3368421052631579,1.0
$A_{12}$,0.4107981220657277,0.7989130434782609,0.028405997921512365,0.5810810810810811,0.30405405405405417,0.7228260869565217,0.5123152709359606,0.3597464342313788,0.44736842105263147,0.6883720930232557
$A_{13}$,0.084507042253521,0.7336956521739131,0.4202504082743604,0.3648648648648648,0.5067567567567568,0.5344202898550724,0.251231527093596,0.9792393026941363,0.41052631578947363,0.8418604651162791
$A_{14}$,0.5375586854460094,0.7228260869565217,0.3284010491413867,0.39189189189189183,0.5743243243243245,0.6920289855072463,0.5123152709359606,0.6164817749603803,0.0,0.9767441860465116
$A_{15}$,0.9084507042253521,0.34782608695652184,0.06844162913841742,0.8243243243243243,0.6351351351351352,0.6775362318840579,0.44334975369458124,0.9524564183835182,0.4210526315789473,0.6046511627906976
$A_{16}$,0.5985915492957746,0.9184782608695652,0.19033008363438414,0.45945945945945943,0.3513513513513514,0.44202898550724634,0.10344827586206888,0.6887480190174327,1.0,0.8790697674418604
$A_{17}$,0.9624413145539907,0.0,0.014846340377097048,0.8378378378378378,0.6216216216216217,0.8224637681159419,0.47783251231527096,0.9920760697305864,0.2631578947368421,0.36744186046511623
$A_{18}$,0.7206572769953051,0.38586956521739135,0.1549957935368932,0.6621621621621622,0.5135135135135136,0.8460144927536232,0.7389162561576355,0.996513470681458,0.7157894736842105,0.7348837209302325
$A_{19}$,0.19248826291079804,0.7608695652173914,0.10234077299945568,0.2567567567567567,0.020270270270270316,0.40942028985507245,0.6699507389162561,0.5879556259904913,0.5210526315789474,0.9209302325581394
$A_{20}$,0.8521126760563381,0.21195652173913052,0.12975701489582822,0.39189189189189183,0.7094594594594595,0.3152173913043478,0.0,0.7565768621236133,0.12105263157894731,0.813953488372093
$A_{21}$,0.0,0.45652173913043487,0.05023011827584501,0.0,0.2162162162162164,0.0,0.7389162561576355,0.17749603803486533,0.6157894736842106,0.6790697674418604
$A_{22}$,0.8028169014084507,0.657608695652174,0.09808482209135451,0.6351351351351351,0.29054054054054057,0.8641304347826086,0.18719211822660087,0.5071315372424724,0.21052631578947367,0.7534883720930232
$A_{23}$,0.2746478873239436,0.875,0.10140050477557282,0.6216216216216216,0.39189189189189194,0.48913043478260865,0.9211822660098523,0.4564183835182251,0.8842105263157893,0.8651162790697675
$A_{24}$,0.8943661971830986,0.75,1.0,0.7837837837837838,0.9797297297297298,0.5797101449275363,1.0,0.7622820919175911,0.35263157894736846,0.8279069767441859
$A_{25}$,0.7089201877934272,0.5217391304347826,0.8888503983768001,1.0,0.9324324324324325,0.6358695652173914,0.8571428571428572,0.9207606973058637,0.43684210526315786,0.5209302325581395
$A_{26}$,0.9624413145539907,0.3695652173913043,0.0,0.918918918918919,0.6351351351351352,0.5905797101449275,0.334975369458128,1.0,0.16842105263157892,0.0
Weights,0.12368581036284429,0.10538279965756027,0.10952058633997894,0.09907723630188758,0.09558349625763382,0.09111130170226865,0.09249277150893032,0.09810562469820558,0.09350401011966057,0.09153636305102994
Types,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
