TIME,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,20.7,20.2,19.6,18.8,18.2,18.2,18.4,18.7
Bulgaria,17.9,17.0,17.7,16.9,16.3,15.2,14.2,15.3
Czechia,26.0,26.4,27.2,25.9,26.5,27.1,26.7,26.2
Denmark,20.0,20.1,19.4,19.1,18.6,18.5,18.0,17.3
Germany (until 1990 former territory of the FRG),14.6,14.2,14.3,14.4,14.4,14.7,14.9,15.2
Estonia,18.6,19.0,18.4,21.8,19.9,19.5,19.4,19.9
Ireland,17.2,16.8,17.7,16.7,16.6,17.4,18.3,18.2
Greece,18.4,18.7,18.6,18.6,18.1,17.5,17.3,17.0
Spain,19.3,19.3,17.3,18.6,18.4,14.8,15.1,15.4
France,14.9,18.6,18.4,17.2,16.8,17.2,16.7,16.8
Croatia,14.2,14.5,14.9,14.1,15.0,15.7,15.2,15.8
Italy,21.1,20.3,19.2,18.6,18.0,17.3,18.0,17.9
Cyprus,18.7,18.5,18.2,18.7,18.6,19.0,18.9,18.5
Latvia,23.1,22.7,21.0,19.3,18.5,17.3,17.2,17.2
Lithuania,8.1,8.6,11.7,10.8,10.1,8.9,9.6,9.4
Luxembourg,17.0,17.2,16.4,17.1,16.9,17.1,17.1,17.4
Hungary,32.4,32.5,32.5,31.8,30.8,30.0,29.4,28.4
Malta,17.5,17.0,16.9,17.7,17.4,17.5,17.5,17.1
Netherlands,13.4,14.0,14.5,13.8,14.0,14.3,14.3,14.4
Austria,21.2,21.6,21.5,21.3,21.4,21.4,22.9,23.0
Poland,23.2,22.0,21.8,21.5,21.5,21.5,20.7,19.3
Portugal,10.5,10.6,10.2,11.1,11.6,11.5,11.6,11.7
Romania,21.8,21.1,21.5,22.1,21.7,22.2,21.2,21.1
Slovenia,13.3,13.7,13.7,13.9,13.7,13.5,13.6,13.4
Slovakia,22.7,22.2,22.6,24.2,25.2,25.6,26.1,26.2
Finland,15.1,15.1,14.8,15.0,17.5,15.8,15.8,16.1
Sweden,16.4,16.6,16.5,16.8,16.5,16.7,16.9,17.7
Iceland,11.4,11.4,11.4,11.4,11.4,11.9,13.6,11.2
Norway,10.2,10.2,10.2,10.6,11.0,10.5,10.8,10.9
Switzerland,25.0,25.0,25.4,25.6,25.7,25.4,25.2,26.1
United Kingdom,13.9,13.9,13.9,14.1,13.5,13.3,12.9,12.6
