TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,17.4,17.5,18.1,18,15.8,15.6,17.7,16,14.5
Bulgaria,12,11.1,11.7,9.7,10,9.8,9.4,8.9,8.8
Czechia,14.3,14.9,13.7,13.9,14.5,13.6,14.6,14,13.3
Denmark,17.1,15.6,16.4,16.5,18.3,18.8,18.2,20.1,18.2
Germany (until 1990 former territory of the FRG),26.1,26.1,25.9,25.8,25.1,26.1,27.8,26.1,21.5
Estonia,12.8,10.8,10.5,9.4,10.4,8.2,8.6,8.2,8
Ireland,9,9.4,9,8.2,7.7,9,9.4,8.2,:
Greece,25.1,24.2,19.7,19.2,19.9,20.1,19.3,19.7,19.8
Spain,15,18.3,15.9,15.7,16.2,15.2,17.0,14.1,21.9
France,17,16.2,16.9,16.4,17.7,16.8,18.2,17.3,20.5
Croatia,10.1,10,8.9,8.3,8.5,8.6,8.0,8.2,8.1
Italy,17.9,18.1,17.6,18.3,16.2,12.5,10.9,11.9,:
Cyprus,25.7,26.2,19.2,17.2,15.6,16.9,19.6,15.4,14
Latvia,15.4,14.8,15.3,14.6,13.3,14.1,13.7,13.1,12.5
Lithuania,13.3,14.1,14.4,15.4,13.4,13.2,14.8,13.3,14.7
Luxembourg,17,18.5,19.1,20.1,19.7,21.6,19.3,20.2,19.7
Hungary,10.1,12.8,13.8,13.7,12.2,11,8.5,9.7,9.3
Malta,29.7,31,30.6,24.6,26.2,24.9,28.2,28.3,30.8
Netherlands,24.2,24.1,25,24.7,24.9,25.6,27.1,26.6,25.6
Austria,19.5,18.9,17.5,17.5,17.3,17.9,17.5,19.5,16.8
Poland,14.2,14,13.4,12.4,13,12.4,13.8,12.6,:
Portugal,23.8,22.7,23.6,23,23.1,23.5,23.0,22.7,25.1
Romania,26.4,26.4,23.6,22.2,20.3,19.3,20.1,18.2,16.1
Slovenia,13.8,12.3,13.2,12.9,13.4,13.3,14.3,14.5,15
Slovakia,16,15.1,14,12.8,12.1,12.8,11.2,10.5,9.9
Finland,14.2,13.4,13,11.7,12,12.5,13.4,12.8,14.1
Sweden,13.8,12.9,13.2,12.6,17.1,16.9,17.0,17,17.3
Iceland,11.1,11.6,12.1,11.4,10.8,10.3,11.1,:,:
Norway,10.8,11.7,10.1,10.2,10.1,10.8,10.8,11.3,12.8
Switzerland,18.7,15.7,17.7,17.7,17.8,17.8,17.2,18.5,:
United Kingdom,18.2,17,17.4,16.5,17,17.3,19.8,:,:
